"","ï..Sno","Date","Time","State","ConfirmedIndianNational","ConfirmedForeignNational","Cured","Deaths","Confirmed"
"256",1277,2020-04-24,"5:00 PM","Odisha","-","-",33,1,90
"257",1286,2020-04-24,"5:00 PM","West Bengal","-","-",103,15,514
"258",1293,2020-04-25,"5:00 PM","Chhattisgarh","-","-",30,0,36
"259",1296,2020-04-25,"5:00 PM","Gujarat","-","-",265,127,2815
"260",1300,2020-04-25,"5:00 PM","Jharkhand","-","-",9,3,59
"261",1304,2020-04-25,"5:00 PM","Madhya Pradesh","-","-",210,92,1952
"262",1305,2020-04-25,"5:00 PM","Maharashtra","-","-",957,301,6817
"263",1309,2020-04-25,"5:00 PM","Odisha","-","-",33,1,94
"264",1318,2020-04-25,"5:00 PM","West Bengal","-","-",103,18,571
"265",1325,2020-04-26,"5:00 PM","Chhattisgarh","-","-",32,0,37
"266",1328,2020-04-26,"5:00 PM","Gujarat","-","-",282,133,3071
"267",1332,2020-04-26,"5:00 PM","Jharkhand","-","-",13,3,67
"268",1336,2020-04-26,"5:00 PM","Madhya Pradesh","-","-",210,99,2096
"269",1337,2020-04-26,"5:00 PM","Maharashtra","-","-",1076,323,7628
"270",1341,2020-04-26,"5:00 PM","Odisha","-","-",34,1,103
"271",1350,2020-04-26,"5:00 PM","West Bengal","-","-",105,18,611
"272",1357,2020-04-27,"5:00 PM","Chhattisgarh","-","-",32,0,37
"273",1360,2020-04-27,"5:00 PM","Gujarat","-","-",313,151,3301
"274",1364,2020-04-27,"5:00 PM","Jharkhand","-","-",13,3,82
"275",1368,2020-04-27,"5:00 PM","Madhya Pradesh","-","-",302,106,2168
"276",1369,2020-04-27,"5:00 PM","Maharashtra","-","-",1188,342,8068
"277",1373,2020-04-27,"5:00 PM","Odisha","-","-",35,1,108
"278",1382,2020-04-27,"5:00 PM","West Bengal","-","-",105,20,649
"279",1389,2020-04-28,"5:00 PM","Chhattisgarh","-","-",32,0,37
"280",1392,2020-04-28,"5:00 PM","Gujarat","-","-",394,162,3548
"281",1396,2020-04-28,"5:00 PM","Jharkhand","-","-",17,3,103
"282",1400,2020-04-28,"5:00 PM","Madhya Pradesh","-","-",361,113,2368
"283",1401,2020-04-28,"5:00 PM","Maharashtra","-","-",1282,369,8590
"284",1405,2020-04-28,"5:00 PM","Odisha","-","-",37,1,118
"285",1414,2020-04-28,"5:00 PM","West Bengal","-","-",109,20,697
"286",1421,2020-04-29,"5:00 PM","Chhattisgarh","-","-",34,0,38
"287",1424,2020-04-29,"5:00 PM","Gujarat","-","-",434,181,3774
"288",1428,2020-04-29,"5:00 PM","Jharkhand","-","-",19,3,105
"289",1432,2020-04-29,"5:00 PM","Madhya Pradesh","-","-",377,119,2561
"290",1433,2020-04-29,"5:00 PM","Maharashtra","-","-",1388,400,9318
"291",1437,2020-04-29,"5:00 PM","Odisha","-","-",38,1,119
"292",1446,2020-04-29,"5:00 PM","West Bengal","-","-",119,22,725
"293",1453,2020-04-30,"5:00 PM","Chhattisgarh","-","-",36,0,38
"294",1456,2020-04-30,"5:00 PM","Gujarat","-","-",527,197,4082
"295",1460,2020-04-30,"5:00 PM","Jharkhand","-","-",19,3,107
"296",1464,2020-04-30,"5:00 PM","Madhya Pradesh","-","-",461,130,2660
"297",1465,2020-04-30,"5:00 PM","Maharashtra","-","-",1593,432,9915
"298",1469,2020-04-30,"5:00 PM","Odisha","-","-",39,1,128
"299",1478,2020-04-30,"5:00 PM","West Bengal","-","-",124,22,758
"300",1485,2020-05-01,"5:00 PM","Chhattisgarh","-","-",36,0,40
"301",1488,2020-05-01,"5:00 PM","Gujarat","-","-",613,214,4395
"302",1492,2020-05-01,"5:00 PM","Jharkhand","-","-",20,3,111
"303",1496,2020-05-01,"5:00 PM","Madhya Pradesh","-","-",482,137,2719
"304",1497,2020-05-01,"5:00 PM","Maharashtra","-","-",1773,459,10498
"305",1501,2020-05-01,"5:00 PM","Odisha","-","-",41,1,143
"306",1510,2020-05-01,"5:00 PM","West Bengal","-","-",139,33,795
"307",1517,2020-05-02,"5:00 PM","Chhattisgarh","-","-",36,0,43
"308",1520,2020-05-02,"5:00 PM","Gujarat","-","-",735,236,4721
"309",1524,2020-05-02,"5:00 PM","Jharkhand","-","-",20,3,111
"310",1528,2020-05-02,"5:00 PM","Madhya Pradesh","-","-",524,145,2719
"311",1529,2020-05-02,"5:00 PM","Maharashtra","-","-",1879,485,11506
"312",1533,2020-05-02,"5:00 PM","Odisha","-","-",55,1,149
"313",1542,2020-05-02,"5:00 PM","West Bengal","-","-",139,33,795
"314",1549,2020-05-03,"5:00 PM","Chhattisgarh","-","-",36,0,43
"315",1552,2020-05-03,"5:00 PM","Gujarat","-","-",896,262,5055
"316",1556,2020-05-03,"5:00 PM","Jharkhand","-","-",22,3,115
"317",1560,2020-05-03,"5:00 PM","Madhya Pradesh","-","-",798,156,2846
"318",1561,2020-05-03,"5:00 PM","Maharashtra","-","-",2000,521,12296
"319",1565,2020-05-03,"5:00 PM","Odisha","-","-",56,1,160
"320",1574,2020-05-03,"5:00 PM","West Bengal","-","-",151,33,922
"321",1581,2020-05-04,"5:00 PM","Chhattisgarh","-","-",36,0,57
"322",1584,2020-05-04,"5:00 PM","Gujarat","-","-",1042,290,5428
"323",1588,2020-05-04,"5:00 PM","Jharkhand","-","-",22,3,115
"324",1592,2020-05-04,"5:00 PM","Madhya Pradesh","-","-",798,165,2942
"325",1593,2020-05-04,"5:00 PM","Maharashtra","-","-",2115,548,12974
